Date,Close
2022/5/17,93.32
2022/5/18,90.529999
2022/5/19,90.209999
2022/5/20,90.779999
2022/5/23,91.5
2022/5/24,88.720001
2022/5/25,90.410004
2022/5/26,91
2022/5/27,93.769997
2022/5/31,95.300003
2022/6/1,94.75
2022/6/2,96.339996
2022/6/3,93.769997
2022/6/6,93.110001
2022/6/7,93.839996
2022/6/8,93.470001
2022/6/9,90.849998
2022/6/10,88.68
2022/6/13,85.550003
2022/6/14,87.190002
2022/6/15,89.129997
2022/6/16,84.519997
2022/6/17,85
2022/6/21,86.949997
2022/6/22,84.910004
2022/6/23,84.120003
2022/6/24,85.919998
2022/6/27,85.860001
2022/6/28,84.339996
2022/6/29,83.650002
2022/6/30,81.75
2022/7/1,77
2022/7/5,76.110001
2022/7/6,75.559998
2022/7/7,80.650002
2022/7/8,81.510002
2022/7/11,79.110001
2022/7/12,79.099998
2022/7/13,81.290001
2022/7/14,83.669998
2022/7/15,85.629997
2022/7/18,83.580002
2022/7/19,86.150002
2022/7/20,86.559998
2022/7/21,87.790001
2022/7/22,86.32
2022/7/25,86.300003
2022/7/26,84.419998
2022/7/27,87.629997
2022/7/28,88.610001
2022/7/29,88.480003
2022/8/1,86.309998
2022/8/2,86.050003
2022/8/3,86.510002
2022/8/4,88.419998
2022/8/5,89.769997
2022/8/8,87.940002
2022/8/9,85.209999
2022/8/10,88.669998
2022/8/11,89.519997
2022/8/12,90.860001
2022/8/15,91.57
2022/8/16,89.949997
2022/8/17,89.199997
2022/8/18,89.269997
2022/8/19,87.199997
2022/8/22,85.239998
2022/8/23,86.029999
2022/8/24,85.559998
2022/8/25,87.57
2022/8/26,84.739998
2022/8/29,82.849998
2022/8/30,82.790001
2022/8/31,83.349998
2022/9/1,81.639999
2022/9/2,80.900002
2022/9/6,80.029999
2022/9/7,79.949997
2022/9/8,80.239998
2022/9/9,81.529999
2022/9/12,82.150002
2022/9/13,78.809998
2022/9/14,79.660004
2022/9/15,77.980003
2022/9/16,77.889999
2022/9/19,78.230003
2022/9/20,78.150002
2022/9/21,77.139999
2022/9/22,75.629997
2022/9/23,73.870003
2022/9/26,73.010002
2022/9/27,73.029999
2022/9/28,72.129997
2022/9/29,69.279999
2022/9/30,68.559998
2022/10/3,69.25
2022/10/4,72.809998
2022/10/5,74.480003
2022/10/6,74.349998
2022/10/7,69.75
2022/10/10,67.440002
2022/10/11,63.450001
2022/10/12,64.110001
2022/10/13,66.620003
2022/10/14,63.919998
2022/10/17,64.889999
2022/10/18,63.709999
2022/10/19,63.66
2022/10/20,63.580002
2022/10/21,63.75
2022/10/24,61.290001
2022/10/25,61.139999
2022/10/26,60.84
2022/10/27,60.950001
2022/10/28,62.009998
2022/10/31,61.549999
2022/11/1,61.580002
2022/11/2,60.52
2022/11/3,60.279999
2022/11/4,62.48
2022/11/7,62.759998
2022/11/8,65.019997
2022/11/9,65
2022/11/10,70.839996
2022/11/11,73.830002
2022/11/14,72.800003
2022/11/15,80.459999
2022/11/16,79.449997
2022/11/17,81.480003
2022/11/18,82.269997
2022/11/21,79.93
2022/11/22,82.540001
2022/11/23,81.970001
2022/11/25,81.400002
2022/11/28,79.220001
2022/11/29,79.330002
2022/11/30,82.980003
2022/12/1,82.68
2022/12/2,81.5
2022/12/5,81.620003
2022/12/6,79.559998
2022/12/7,79.239998
2022/12/8,80.800003
2022/12/9,80.690002
2022/12/12,80.43
2022/12/13,80.510002
2022/12/14,80.019997
2022/12/15,77.610001
2022/12/16,76.300003
2022/12/19,76.099998
2022/12/20,75.620003
2022/12/21,77.139999
2022/12/22,75.279999
2022/12/23,74.889999
2022/12/27,74.32
2022/12/28,73.059998
2022/12/29,76
2022/12/30,74.489998
2023/1/3,74.029999
2023/1/4,76.32
2023/1/5,75.730003
2023/1/6,78.07
2023/1/9,80.309998
2023/1/10,81.269997
2023/1/11,81.779999
2023/1/12,87
2023/1/13,86.800003
2023/1/17,88.989998
2023/1/18,89.470001
2023/1/19,88.400002
2023/1/20,91.029999
2023/1/23,95.660004
2023/1/24,94.559998
2023/1/25,92.410004
